 Total Nb of available Diagnostics: ndiagt=   204
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |hFactorW| 55 |    99 |SUr     MR|1               |Western-Edge cell-thickness fraction [-]
    99 |hFactorS| 55 |    98 |SVr     MR|1               |Southern-Edge cell-thickness fraction [-]
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTUTEND| 55 |   101 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
   101 |TOTVTEND| 55 |   100 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
   102 |TOTTTEND| 55 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   103 |TOTSTEND| 55 |       |SMR     MR|psu/day         |Tendency of Salinity
   104 |MoistCor| 55 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   105 |gT_Forc | 55 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   106 |gS_Forc | 55 |       |SMR     MR|psu/s           |Salinity forcing tendency
   107 |AB_gT   | 55 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   108 |AB_gS   | 55 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   109 |gTinAB  | 55 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   110 |gSinAB  | 55 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   111 |AB_gU   | 55 |   112 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   112 |AB_gV   | 55 |   111 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   113 |ADVr_TH | 55 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   114 |ADVx_TH | 55 |   115 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   115 |ADVy_TH | 55 |   114 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   116 |DFrE_TH | 55 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   117 |DFxE_TH | 55 |   118 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   118 |DFyE_TH | 55 |   117 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   119 |DFrI_TH | 55 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   120 |ADVr_SLT| 55 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   121 |ADVx_SLT| 55 |   122 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   122 |ADVy_SLT| 55 |   121 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   123 |DFrE_SLT| 55 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   124 |DFxE_SLT| 55 |   125 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   125 |DFyE_SLT| 55 |   124 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   126 |DFrI_SLT| 55 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   127 |SALTFILL| 55 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   128 |VISCAHZ | 55 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   129 |VISCA4Z | 55 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   130 |VISCAHD | 55 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   131 |VISCA4D | 55 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   132 |VISCAHW | 55 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   133 |VISCA4W | 55 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   134 |VAHZMAX | 55 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMAX | 55 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMAX | 55 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMAX | 55 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZMIN | 55 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZMIN | 55 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDMIN | 55 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DMIN | 55 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTH | 55 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTH | 55 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTH | 55 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTH | 55 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZLTHD| 55 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZLTHD| 55 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   148 |VAHDLTHD| 55 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DLTHD| 55 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   150 |VAHZSMAG| 55 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   151 |VA4ZSMAG| 55 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   152 |VAHDSMAG| 55 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   153 |VA4DSMAG| 55 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   154 |momKE   | 55 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   155 |momHDiv | 55 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   156 |momVort3| 55 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   157 |Strain  | 55 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   158 |Tension | 55 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   159 |Stretch | 55 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   160 |USidDrag| 55 |   161 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   161 |VSidDrag| 55 |   160 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   162 |Um_Diss | 55 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   163 |Vm_Diss | 55 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   164 |Um_ImplD| 55 |   165 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   165 |Vm_ImplD| 55 |   164 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   166 |Um_Advec| 55 |   167 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   167 |Vm_Advec| 55 |   166 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   168 |Um_Cori | 55 |   169 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   169 |Vm_Cori | 55 |   168 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   170 |Um_dPhiX| 55 |   171 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   171 |Vm_dPhiY| 55 |   170 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   172 |Um_Ext  | 55 |   173 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   173 |Vm_Ext  | 55 |   172 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   174 |Um_AdvZ3| 55 |   175 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   175 |Vm_AdvZ3| 55 |   174 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   176 |Um_AdvRe| 55 |   177 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   177 |Vm_AdvRe| 55 |   176 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   178 |botTauX |  1 |   179 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   179 |botTauY |  1 |   178 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   180 |ADVx_Um | 55 |   181 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   181 |ADVy_Um | 55 |   180 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   182 |ADVrE_Um| 55 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   183 |ADVx_Vm | 55 |   184 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   184 |ADVy_Vm | 55 |   183 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   185 |ADVrE_Vm| 55 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   186 |VISCx_Um| 55 |   187 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   187 |VISCy_Um| 55 |   186 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   188 |VISrE_Um| 55 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   189 |VISrI_Um| 55 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   190 |VISCx_Vm| 55 |   191 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   191 |VISCy_Vm| 55 |   190 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   192 |VISrE_Vm| 55 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   193 |VISrI_Vm| 55 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   194 |SHIfwFlx|  1 |       |SM      L1|kg/m^2/s        |Ice shelf fresh water flux (positive upward)
   195 |SHIhtFlx|  1 |       |SM      L1|W/m^2           |Ice shelf heat flux  (positive upward)
   196 |SHI_TauX|  1 |   197 |UU      L1|N/m^2           |Ice shelf bottom stress, zonal  comp., >0 increases uVel
   197 |SHI_TauY|  1 |   196 |VV      L1|N/m^2           |Ice shelf bottom stress, merid. comp., >0 increases vVel
   198 |SHIForcT|  1 |       |SM      L1|W/m^2           |Ice shelf forcing for theta, >0 increases theta
   199 |SHIForcS|  1 |       |SM      L1|g/m^2/s         |Ice shelf forcing for salt, >0 increases salt
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |SHIgammT|  1 |       |SM      L1|m/s             |Ice shelf exchange coefficient for theta
   201 |SHIgammS|  1 |       |SM      L1|m/s             |Ice shelf exchange coefficient for salt
   202 |SHIuStar|  1 |       |SM      L1|m/s             |Friction velocity at bottom of ice shelf
   203 |SHI_mass|  1 |       |SM      L1|kg/m^2          |dynamic ice shelf mass for surface load anomaly
   204 |SHIRshel|  1 |       |SM      L1|m               |depth of shelfice
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
